"Country name","Code","Year","Age-standardized suicide rate - Sex: both sexes","Life Ladder","Social support","Healthy life expectancy at birth","Freedom to make life choices","Perceptions of corruption","Indicator Name","Indicator Code","GDP","VAR","Variable","MEA","Measure","ISIC4...7","ISIC4...8","Unit Code","Unit","Value","Quarter"
"Finland","FIN",2011,156.825,7.35422515869141,0.93785685300827,70.6399993896484,0.936448395252228,0.319593191146851,"GDP (current US$)","NY.GDP.MKTP.CD",2.75604e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","IDX","Index",130.477172851562,"Q2"
"Finland","FIN",2011,156.825,7.35422515869141,0.93785685300827,70.6399993896484,0.936448395252228,0.319593191146851,"GDP (current US$)","NY.GDP.MKTP.CD",2.75604e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","IDX","Index",128.010162353516,"Q3"
"Finland","FIN",2011,156.825,7.35422515869141,0.93785685300827,70.6399993896484,0.936448395252228,0.319593191146851,"GDP (current US$)","NY.GDP.MKTP.CD",2.75604e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","IDX","Index",128.79736328125,"Q4"
"Finland","FIN",2011,156.825,7.35422515869141,0.93785685300827,70.6399993896484,0.936448395252228,0.319593191146851,"GDP (current US$)","NY.GDP.MKTP.CD",2.75604e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99C","Grand total (corporations only)","IDX","Index",135.621246337891,"Q1"
"Finland","FIN",2011,156.825,7.35422515869141,0.93785685300827,70.6399993896484,0.936448395252228,0.319593191146851,"GDP (current US$)","NY.GDP.MKTP.CD",2.75604e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99C","Grand total (corporations only)","IDX","Index",135.593673706055,"Q2"
"Finland","FIN",2011,156.825,7.35422515869141,0.93785685300827,70.6399993896484,0.936448395252228,0.319593191146851,"GDP (current US$)","NY.GDP.MKTP.CD",2.75604e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99C","Grand total (corporations only)","IDX","Index",135.834259033203,"Q3"
"Finland","FIN",2011,156.825,7.35422515869141,0.93785685300827,70.6399993896484,0.936448395252228,0.319593191146851,"GDP (current US$)","NY.GDP.MKTP.CD",2.75604e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99C","Grand total (corporations only)","IDX","Index",137.075546264648,"Q4"
"Belgium","BEL",2011,167.076,7.11136388778687,0.936955451965332,70.9199981689453,0.880153596401215,0.711043894290924,"GDP (current US$)","NY.GDP.MKTP.CD",5.2333e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","IDX","Index",132.909133911133,"Q1"
"Belgium","BEL",2011,167.076,7.11136388778687,0.936955451965332,70.9199981689453,0.880153596401215,0.711043894290924,"GDP (current US$)","NY.GDP.MKTP.CD",5.2333e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","IDX","Index",136.435729980469,"Q2"
"Belgium","BEL",2011,167.076,7.11136388778687,0.936955451965332,70.9199981689453,0.880153596401215,0.711043894290924,"GDP (current US$)","NY.GDP.MKTP.CD",5.2333e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","IDX","Index",138.882385253906,"Q3"
