Data Source,,,,,,,,,
,,,,,,,,,
Last Updated Date,,,,,,,,,
,,,,,,,,,
Country Name,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Gambia, The",705.47749534881,686.557557719746,647.385534561172,561.649634566263,611.67121911225,640.676265282984,632.001024153219,683.324632754874,722.875356284026
Guinea-Bissau,683.534475990489,598.572626248258,616.159928714289,605.122546466363,585.957012587988,642.666390086932,718.245737766542,781.644367625001,730.611432270196
Equatorial Guinea,18659.4160247571,18756.4250273225,17644.5943045414,16804.9249271976,9788.98380398528,8035.30766558427,8410.39798030589,8719.18686965483,7317.39002392662
Greece,25483.8825644931,21912.9982879517,21787.7877636035,21616.7100094908,18083.8779056547,17923.9668134716,18582.0893411631,19756.990456255,19143.8876174584
Grenada,6775.74927822931,6900.76507593244,7205.25476521885,7726.37826175954,8379.62184743156,8849.51353500776,9309.26129609568,9574.3102711372,9887.92074235834
Greenland,47186.8759969388,45936.9562817724,47535.4883792376,50485.2244135291,44536.3549705377,48181.7453541266,50765.7494665372,54545.135857765,53309.2035905065
Guatemala,3228.03827784076,3355.03477737406,3522.76742900978,3779.62620518889,3994.62908519019,4173.28134863663,4454.02450948165,4485.75213495073,4647.80754129437
Guam,30087.7155914011,31642.1462570316,32318.8908975541,33483.9414359299,34522.3779304433,35052.8079075238,35663.0250406273,35902.725903793,37752.633077142
Guyana,4960.00472639074,5461.39008471262,5576.25021487084,5495.37708403183,5668.42976474423,5905.38019563205,6220.97856820609,6094.90983678918,6477.29672607993
High income,41688.7348432025,41480.8641475896,41752.3619190175,42412.1297171059,39811.4801820307,40428.1793753079,42077.8430006954,44528.1687418121,44725.9950930598
"Hong Kong SAR, China",35142.4879344543,36730.796195815,38403.7777145477,40315.3739510191,42432.1619740441,43734.1980702999,46160.429791493,48537.5668888343,48359.0011950597
Honduras,2053.95969493403,2107.34542786596,2064.55053629483,2164.42455009318,2257.22528369354,2295.53627000423,2403.30608839303,2457.6860424186,2519.36618467309
Heavily indebted poor countries (HIPC),908.508026434671,914.728296438905,988.605140695814,1021.15644841509,963.318067757582,981.831642180149,1055.40420733235,977.237530453694,985.130486573086
Croatia,14655.8743881973,13439.6645555189,13979.1855602956,14001.1603438958,12098.5120254631,12579.9227031481,13592.2545240617,15040.0369182791,15120.9029026824
Haiti,1306.84531878112,1356.17277659459,1452.31354766386,1454.64917469599,1405.71478574216,1313.18609516709,1389.35862299149,1489.57840624271,1345.4750547884
Hungary,14234.471576937,12984.8365730133,13715.0703590361,14294.2584180751,12717.038597002,13104.6995457458,14621.2395956755,16425.2050299693,16786.2136399075
IBRD only,5320.92300111613,5596.07993262504,5839.26074048732,5971.5147423237,5536.38216278754,5523.36142053282,6043.46039749913,6373.9704621462,6460.50116507722
IDA & IBRD total,4325.48460465497,4533.25382791296,4727.35175927619,4836.8716569689,4486.33398919216,4463.08064447961,4847.68098188126,5084.85405170213,5140.64185490117
IDA total,1248.54936139276,1286.7765547365,1367.05147466674,1443.62287339611,1379.21060244512,1362.46198227562,1395.04993087921,1412.71194201611,1434.10009720301
IDA blend,1734.11239454885,1885.39859061995,2008.21295964126,2135.8406627848,1987.56753401958,1820.08119041884,1753.2708306151,1877.77672368693,1876.65480569221
Indonesia,3613.8008884858,3668.21208337097,3602.88551680629,3476.62485441547,3322.58167895444,3558.81885175737,3839.78507460491,3902.661675559,4151.22755440796
IDA only,1003.96998557722,984.998297134728,1043.98098224565,1095.15616800923,1073.5974351758,1133.38080946403,1216.33837094209,1181.35314134002,1214.58259193876
Isle of Man,77838.3969263195,79326.3829993587,83204.7471695074,91881.1283610971,84753.4567282435,82041.6210496551,83510.303746436,89425.8913885835,87152.4530176191
India,1449.60330101563,1434.01798721629,1438.05700508042,1559.86377870535,1590.17433135955,1714.27953740039,1957.96981329558,1974.3777314935,2050.1638002619
Not classified,,,,,,,,,
